name,latitude,longitude,authority,source,owner
Ralston,39.000999,-120.725053,California Independent System Operator,Rubicon River,Pacific Gas & Electric Co
Parker,37.477838,-120.444492,California Independent System Operator,Main Canal,Pacific Gas & Electric Co
Camino,38.828810,-120.537089,Balancing Authority of Northern California,Silver Creek,Sacramento Municipal Util Dist
Jaybird,38.834050,-120.531760,Balancing Authority of Northern California,Silver Creek,Sacramento Municipal Util Dist
Loon Lake,38.982697,-120.324503,Balancing Authority of Northern California,Gerle Creek,Sacramento Municipal Util Dist
Robbs Peak,38.896511,-120.378292,Balancing Authority of Northern California,South Fork Rubicon,Sacramento Municipal Util Dist
White Rock/Slab Creek,38.765336,-120.787366,Balancing Authority of Northern California,South Fork American River,Sacramento Municipal Util Dist
Devil Canyon,34.205600,-117.334400,California Independent System Operator,Water From Penstocks Ca Aquedu,Southern California Edison Co
Edward C Hyatt,39.542985,-121.492188,California Independent System Operator,Water From Penstocks Oroville,Pacific Gas & Electric Co
Thermalito,39.514893,-121.630077,California Independent System Operator,Wtr Fr Penstocks Thermal Foreb,Pacific Gas & Electric Co
Don Pedro,37.695994,-120.420152,Turlock Irrigation District,Tuolumne River,Turlock Irrigation District
La Grange,37.669700,-120.443600,Turlock Irrigation District,Tuolumne River,Turlock Irrigation District
Folsom,38.706750,-121.158443,Western Area Power Administration - Desert Southwest Region,American River,WAPA-- Western Area Power Administration
Judge F Carr,40.646934,-122.626973,Western Area Power Administration - Desert Southwest Region,Trinity River,WAPA-- Western Area Power Administration
Keswick,40.611858,-122.446441,Western Area Power Administration - Desert Southwest Region,Sacramento River,WAPA-- Western Area Power Administration
Nimbus,38.637350,-121.220198,Western Area Power Administration - Desert Southwest Region,American River,WAPA-- Western Area Power Administration
Shasta,40.717455,-122.422274,Western Area Power Administration - Desert Southwest Region,Sacramento River,WAPA-- Western Area Power Administration
ONeill,37.098671,-121.047718,Western Area Power Administration - Desert Southwest Region,O'Neill Forebay - San Luis Cre,WAPA-- Western Area Power Administration
Parker Dam,34.295334,-114.140222,Western Area Power Administration - Desert Southwest Region,Colorado River,WAPA-- Western Area Power Administration
W R Gianelli,37.069200,-121.077200,California Independent System Operator,Wtr Fr Penstocks San Luis Res,Pacific Gas & Electric Co
Spring Creek,40.628115,-122.467509,Western Area Power Administration - Desert Southwest Region,Whiskey Town Reservoir-Clear C,WAPA-- Western Area Power Administration
Trinity,40.797296,-122.762553,Western Area Power Administration - Desert Southwest Region,Trinity River,WAPA-- Western Area Power Administration
Colgate,39.330833,-121.191666,California Independent System Operator,North Yuba River,Pacific Gas & Electric Co
Narrows 2,39.238996,-121.270409,California Independent System Operator,Yuba River,Pacific Gas & Electric Co
Bear Valley,33.166246,-117.016566,California Independent System Operator,Lake Wohlford,San Diego Gas & Electric Co
Pueblo,38.266700,-104.614400,Public Service Company of Colorado,Arkansas River,Black Hills/Colorado Elec.Util
W N Clark,38.434400,-105.250000,Public Service Company of Colorado,Arkansas River,Black Hills/Colorado Elec.Util
Alamosa,37.459400,-105.894700,Public Service Company of Colorado,,Public Service Co of Colorado
Arapahoe,39.670000,-105.002800,Public Service Company of Colorado,South Platte River,Public Service Co of Colorado
Boulder Canyon Hydro,40.004725,-105.332495,Public Service Company of Colorado,Middle Boulder Creek,Public Service Co of Colorado
Cabin Creek,39.655100,-105.708800,Public Service Company of Colorado,South Clear Creek,Public Service Co of Colorado
Cameo,39.127778,-108.326111,Public Service Company of Colorado,Colorado River,Public Service Co of Colorado
Cherokee,39.807275,-104.964548,Public Service Company of Colorado,South Platte River,Public Service Co of Colorado
Comanche (CO),38.208100,-104.574700,Western Area Power Administration - Rocky Mountain Region,Arkansas River,Public Service Co of Colorado
Fruita,39.136400,-108.734700,Public Service Company of Colorado,,Public Service Co of Colorado
Georgetown Hydro,39.691900,-105.697800,Public Service Company of Colorado,South Clear Creek,Public Service Co of Colorado
Grand Valley Project Power Plant,39.101667,-108.345556,Public Service Company of Colorado,Colorado River,Public Service Co of Colorado
Salida,38.534190,-106.182003,Public Service Company of Colorado,South Arkansas River,Public Service Co of Colorado
Shoshone (CO),39.570130,-107.226876,Public Service Company of Colorado,Colorado River,Public Service Co of Colorado
Valmont,40.019500,-105.202000,Public Service Company of Colorado,South Boulder Creek,Public Service Co of Colorado
Zuni,39.737348,-105.016991,Public Service Company of Colorado,South Platte River,Public Service Co of Colorado
Temescal,33.834300,-117.497100,California Independent System Operator,River,Southern California Edison Co
Corona,33.858950,-117.610600,California Independent System Operator,River,Southern California Edison Co
Perris,33.836100,-117.183100,California Independent System Operator,River,Southern California Edison Co
Rio Hondo,34.004722,-118.099170,California Independent System Operator,River,Southern California Edison Co
Coyote Creek,33.924930,-117.955170,California Independent System Operator,River,Southern California Edison Co
Red Mountain,33.394400,-117.188900,California Independent System Operator,River,San Diego Gas & Electric Co
Valley View,33.900100,-117.829050,California Independent System Operator,River,Southern California Edison Co
Upper Dawson,37.650800,-120.470600,Turlock Irrigation District,Upper Turlock Main Canal,Turlock Irrigation District
Center,37.753606,-106.104670,Public Service Company of Colorado,Municipality-Wells,City of Center - (CO)
Martin Drake,38.824444,-104.833333,Western Area Power Administration - Rocky Mountain Region,Municipality,City of Colorado Springs - (CO)
George Birdsall,38.881389,-104.816944,Western Area Power Administration - Rocky Mountain Region,Municipality,City of Colorado Springs - (CO)
Manitou Springs,38.855556,-104.933056,Western Area Power Administration - Rocky Mountain Region,Municipality,City of Colorado Springs - (CO)
Ruxton Park,38.841354,-104.973802,Western Area Power Administration - Rocky Mountain Region,Municipality,City of Colorado Springs - (CO)
Holly,38.032717,-102.073659,Western Area Power Administration - Rocky Mountain Region,Municipality,Town of Holly - (CO)
Julesburg,40.950500,-102.279500,Western Area Power Administration - Rocky Mountain Region,Well,WAPA-- Western Area Power Administration
Boysen,43.417872,-108.177545,Western Area Power Administration UGP West,Wind River,WAPA-- Western Area Power Administration
La Junta,37.987600,-103.546800,Public Service Company of Colorado,Municipality,City of La Junta - (CO)
Las Animas,38.064700,-103.215900,Western Area Power Administration - Rocky Mountain Region,Wells,City of Las Animas - (CO)
Lamar Plant,38.033327,-102.537915,Public Service Company of Colorado,Wells,City of Lamar - (CO)
Sonoma California Geothermal,38.790300,-122.755900,California Independent System Operator,Wells,Pacific Gas & Electric Co
Trinidad (CO),37.178979,-104.487492,Western Area Power Administration - Rocky Mountain Region,Municipality,"San Isabel Electric Assn, Inc"
Blue Mesa,38.453191,-107.337483,Western Area Power Administration - Rocky Mountain Region,Blue Mesa Reservoir-Gunnison R,WAPA-- Western Area Power Administration
Estes,40.376771,-105.509665,Western Area Power Administration - Rocky Mountain Region,Colorado River,WAPA-- Western Area Power Administration
Morrow Point,38.451753,-107.539299,Western Area Power Administration - Rocky Mountain Region,Morrow Point Reservoir-Gunniso,WAPA-- Western Area Power Administration
Big Thompson,40.421031,-105.223804,Western Area Power Administration - Rocky Mountain Region,Colorado River,WAPA-- Western Area Power Administration
Green Mountain,39.878805,-106.332725,Western Area Power Administration - Rocky Mountain Region,Blue River,WAPA-- Western Area Power Administration
Marys Lake,40.344080,-105.534308,Western Area Power Administration - Rocky Mountain Region,Colorado River,WAPA-- Western Area Power Administration
Flatiron,40.364996,-105.236032,Western Area Power Administration - Rocky Mountain Region,Colorado River,WAPA-- Western Area Power Administration
Pole Hill,40.365056,-105.325074,Western Area Power Administration - Rocky Mountain Region,Colorado River,WAPA-- Western Area Power Administration
Lower Molina,39.193660,-108.044088,Western Area Power Administration - Rocky Mountain Region,Bonham Reservoir,WAPA-- Western Area Power Administration
Upper Molina,39.143808,-108.004777,Western Area Power Administration - Rocky Mountain Region,Bonham Reservoir,WAPA-- Western Area Power Administration
Hayden,40.485600,-107.185000,Public Service Company of Colorado,Yampa River,WAPA-- Western Area Power Administration
Nucla,38.238300,-108.506900,Western Area Power Administration - Rocky Mountain Region,San Miguel River,"Tri-State G & T Assn, Inc"
Rancho Seco Solar,38.340015,-121.113861,Balancing Authority of Northern California,,Sacramento Municipal Util Dist
Camp Far West,39.048802,-121.316966,California Independent System Operator,Bear River,Pacific Gas & Electric Co
McWilliams,31.400255,-86.476449,PowerSouth Energy Cooperative,Conecuh River,PowerSouth Energy Cooperative
Jones Fork,38.850283,-120.381883,Balancing Authority of Northern California,South Fork Silver Creek,Sacramento Municipal Util Dist
McClellan (CA),38.652731,-121.393336,Balancing Authority of Northern California,,Sacramento Municipal Util Dist
Camanche,38.226800,-121.024500,California Independent System Operator,Comanche Reservoir,Pacific Gas & Electric Co
Rocky River (CT),41.582600,-73.434900,ISO New England Inc.,Housatonic River,Connecticut Light & Power Co
Branford,41.292500,-72.794200,ISO New England Inc.,,Connecticut Light & Power Co
Bulls Bridge,41.659046,-73.491984,ISO New England Inc.,Housatonic River,Connecticut Light & Power Co
Cos Cob,41.028900,-73.598900,ISO New England Inc.,,Connecticut Light & Power Co
Devon Station,41.209797,-73.108976,ISO New England Inc.,Housatonic River,Connecticut Light & Power Co
Montville Station,41.428100,-72.101900,ISO New England Inc.,Thames River,Connecticut Light & Power Co
Northfield Mountain,42.610683,-72.471643,ISO New England Inc.,Connecticut River,Western Massachusetts Electric Company
Kettle Falls Generating Station,48.620336,-118.111059,Avista Corporation,Wells,Avista Corp
Scotland Dam,41.665100,-72.122100,ISO New England Inc.,Shetucket,Connecticut Light & Power Co
Shepaug,41.448420,-73.295321,ISO New England Inc.,Housatonic River,Connecticut Light & Power Co
Stevenson,41.383300,-73.171400,ISO New England Inc.,Housatonic River,Connecticut Light & Power Co
Taftville,41.572500,-72.045800,ISO New England Inc.,Shetucket,Connecticut Light & Power Co
Tunnel,41.555425,-72.041829,ISO New England Inc.,Quinebaug,Connecticut Light & Power Co
Rainbow (CT),41.915312,-72.693616,ISO New England Inc.,Farmington River,Connecticut Light & Power Co
Falls Village,41.957272,-73.369297,ISO New England Inc.,Housatonic River,Connecticut Light & Power Co
Franklin Drive,41.798943,-73.116267,ISO New England Inc.,,Connecticut Light & Power Co
Middletown,41.554944,-72.579075,ISO New England Inc.,Connecticut River,Connecticut Light & Power Co
South Meadow,41.749500,-72.652400,ISO New England Inc.,Connecticut River,Connecticut Light & Power Co
Stanton Energy Center,28.482200,-81.167800,Florida Municipal Power Pool,Eastern Water Reclaimation Fac,Orlando Utilities Comm
Torrington Terminal,41.776109,-73.120886,ISO New England Inc.,,Connecticut Light & Power Co
Millstone,41.310700,-72.167700,ISO New England Inc.,Long Island Sound,Connecticut Light & Power Co
Bridgeport Station,41.170600,-73.184400,ISO New England Inc.,Bridgeport Harbor,United Illuminating Co
Central Hudson High Falls,41.828814,-74.131877,New York Independent System Operator,Rondout Creek,Central Hudson Gas & Elec Corp
North Main Street,41.526790,-72.064935,ISO New England Inc.,,City of Norwich - (CT)
Tenth Street,41.538955,-72.050936,ISO New England Inc.,Shetucket River,City of Norwich - (CT)
Navajo Dam,36.806100,-107.613100,Western Area Power Administration - Rocky Mountain Region,San Juan River,City of Farmington - (NM)
Drop 1,32.711611,-114.942666,Imperial Irrigation District,Well & Canal Filtered,Imperial Irrigation District
East Highline,32.699451,-115.282450,Imperial Irrigation District,Canal Filtered,Imperial Irrigation District
J C McNeil,44.491700,-73.208056,ISO New England Inc.,Wells,Green Mountain Power Corp
Christiana,39.730200,-75.537100,"PJM Interconnection, LLC",,Delmarva Power
Delaware City 10,39.600408,-75.626811,"PJM Interconnection, LLC",,Delmarva Power
Edge Moor,39.738860,-75.503840,"PJM Interconnection, LLC",Delaware River,Delmarva Power
Indian River Generating Station,38.585700,-75.234100,"PJM Interconnection, LLC",Indian River,Delmarva Power
West Station (DE),39.728300,-75.628900,"PJM Interconnection, LLC",,Delmarva Power
McKee Run,39.176222,-75.546628,"PJM Interconnection, LLC",Municipality,City of Dover - (DE)
Brandon Shores,39.180000,-76.538900,"PJM Interconnection, LLC",Patapsco River,Baltimore Gas & Electric Co
Fredonia,48.455800,-122.435800,Puget Sound Energy,Skagit PUD,Puget Sound Energy Inc
Cape Canaveral,28.469800,-80.764400,Florida Power & Light Company,Indian River,Florida Power & Light Co
